Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,Bowling wSR,cAA,cAA+
DB Sharma,623,26,662,23.96,94,-7,665,90,1259,67,1213,18.79,104,-0.06,25.06,107
Diana Baig,29,7,47,4.14,62,-101,3,6,339,14,343,24.21,99,-0.01,26.73,100
DJS Dottin,862,34,771,25.35,112,10,900,105,591,34,570,17.38,104,-0.07,25.89,104
DM Doughty,0,0,0,-,-,-,-,-,64,4,78,16,82,-0.23,20.71,130
DM Kimmince,444,28,391,15.86,114,-6,397,91,2052,108,1854,19,111,0,27.08,99
DN Wyatt,2236,78,1765,28.67,127,24,2306,117,236,10,228,23.6,104,0,25.84,104
E Bisht,3,0,5,-,60,-17,5,81,96,9,120,10.67,80,-0.4,17.32,155
E Falconer,34,1,23,34,148,42,34,134,245,11,177,22.27,138,0.24,33.1,81
E Hayward,26,1,33,26,79,-16,30,82,341,12,303,28.42,113,0.11,28.79,93
E Hughes,4,0,10,-,40,-35,7,65,24,1,22,24,109,0.05,32.36,83
E Johnston,8,0,10,-,80,4,11,100,0,0,0,-,-,-,-,-
E Jones,235,10,236,23.5,100,-1,250,95,12,0,6,-,200,1.15,53.35,50
E Kearney,31,9,32,3.44,97,-139,-10,-29,317,7,282,45.29,112,0.21,31.69,85
E Kershaw,97,10,127,9.7,76,-44,80,57,8,1,6,8,133,-0.4,20.19,133
E Thompson,97,10,99,9.7,98,-37,70,63,26,2,24,13,108,-0.17,21.5,125
EA Burns,894,43,760,20.79,118,8,871,103,530,40,515,13.25,103,-0.2,21.97,122
EA Leys,0,0,0,-,-,-,-,-,7,0,6,-,117,0.39,35.16,76
EA Osborne,731,39,743,18.74,98,-10,722,87,1211,45,1111,26.91,109,0.08,27.97,96
EA Perry,2835,65,2699,43.62,105,14,3260,108,1546,78,1529,19.82,101,-0.04,26.35,102
EG Fazackerley,471,29,359,16.24,131,8,412,103,159,4,120,39.75,132,0.35,37.39,72
Eimear Richardson,180,15,171,12,105,-21,147,77,410,17,395,24.12,104,0.02,26.74,100
EJ Carson,42,4,57,10.5,74,-43,37,58,273,16,256,17.06,107,-0.06,25.11,107
EJ Inglis,249,25,267,9.96,93,-36,190,64,0,0,0,-,-,-,-,-
EJ Smith,24,3,27,8,89,-55,14,46,0,0,0,-,-,-,-,-
EJ Villani,2307,73,2012,31.6,115,17,2490,111,27,0,20,-,135,0.57,41.76,64
EL Baker,0,0,0,-,-,-,-,-,14,1,12,14,117,-0.08,29.8,90
EL King,19,1,22,19,86,-17,20,80,739,31,681,23.84,109,0.05,27.14,99
EM Bermingham,8,2,7,4,114,-123,-1,-14,31,0,24,-,129,0.48,38.31,70
Emily Cunningham,113,10,146,11.3,77,-36,103,63,9,0,10,-,90,0.13,31.29,86
Emma Black,33,5,39,6.6,85,-67,16,36,308,19,278,16.21,111,-0.05,27.11,99
Emma Kench,19,3,31,6.33,61,-72,11,31,0,0,0,-,-,-,-,-
F Tunnicliffe,32,3,55,10.67,58,-48,33,53,0,0,0,-,-,-,-,-
Fahima Khatun,109,9,113,12.11,96,-27,91,72,261,7,228,37.29,114,0.19,30.95,87
Fareeha Mehmood,7,3,19,2.33,37,-126,-4,-17,0,0,0,-,-,-,-,-
